iter	Passed	Remaining
676	65657	31325
677	65775	31238
678	65869	31139
679	65966	31042
680	66061	30945
681	66156	30847
682	66255	30751
683	66349	30652
684	66449	30557
685	66545	30459
686	66641	30362
687	66738	30264
688	66856	30177
689	66949	30078
690	67041	29979
691	67137	29881
692	67242	29788
693	67344	29693
694	67440	29596
695	67549	29504
696	67649	29408
697	67737	29307
698	67856	29220
699	67967	29128
700	68069	29033
701	68149	28929
702	68250	28834
703	68353	28739
704	68442	28639
705	68545	28544
706	68640	28446
707	68737	28349
708	68857	28261
709	68954	28164
710	69067	28073
711	69161	27975
712	69257	27877
713	69357	27781
714	69458	27686
715	69562	27591
716	69661	27495
717	69762	27399
718	69874	27308
719	69964	27208
720	70063	27112
721	70147	27009
722	70246	26913
723	70343	26816
724	70442	26719
725	70540	26622
726	70639	26526
727	70734	26428
728	70842	26335
729	70945	26240
730	71046	26144
731	71146	26048
732	71248	25952
733	71344	25854
734	71428	25753
735	71529	25657
736	71628	25560
737	71730	25465
738	71839	25372
739	71974	25288
740	72073	25191
741	72167	25093
742	72267	24996
743	72366	24900
744	72457	24800
745	72545	24700
746	72647	24604
747	72748	24508
748	72850	24413
749	72944	24314
750	73062	24224
751	73161	24127
752	73259	24030
753	73357	23933
754	73458	23837
755	73555	23740
756	73641	23639
757	73734	23540
758	73844	23447
759	73938	23349
760	74043	23254
761	74140	23156
762	74231	23057
763	74325	22959
764	74435	22865
765	74514	22762
766	74615	22666
767	74712	22569
768	74815	22473
769	74916	22377
770	75030	22285
771	75128	22188
772	75224	22090
773	75324	21993
774	75425	21897
775	75518	21799
776	75615	21701
777	75708	21603
778	75807	21506
779	75899	21407
780	76001	21311
781	76107	21216
782	76196	21116
783	76294	21019
784	76380	20919
785	76468	20819
786	76583	20727
787	76683	20630
788	76785	20534
789	76883	20437
790	76978	20339
791	77099	20248
792	77194	20150
793	77291	20053
794	77390	19956
795	77486	19858
796	77574	19758
797	77674	19661
798	77764	19562
799	77866	19466
800	77963	19369
801	78063	19272
802	78181	19180
803	78277	19082
804	78373	18984
805	78462	18885
806	78558	18787
807	78654	18690
808	78743	18590
809	78838	18492
810	78927	18393
811	79015	18294
812	79099	18193
813	79212	18100
814	79308	18002
815	79406	17905
816	79502	17807
817	79607	17712
818	79698	17613
819	79790	17515
820	79894	17419
821	79995	17322
822	80094	17225
823	80213	17132
824	80308	17035
825	80396	16935
826	80490	16837
827	80575	16737
828	80662	16638
829	80759	16541
830	80863	16445
831	80959	16347
832	81063	16251
833	81167	16155
834	81277	16060
835	81441	15976
836	81550	15881
837	81661	15786
838	81782	15693
839	81885	15597
840	81990	15501
841	82094	15404
842	82220	15312
843	82332	15217
844	82443	15122
845	82542	15025
846	82643	14928
847	82737	14830
848	82840	14733
849	82944	14637
850	83059	14542
851	83153	14444
852	83268	14349
853	83393	14256
854	83495	14159
855	83601	14063
856	83706	13967
857	83806	13870
858	83914	13774
859	84022	13678
860	84120	13580
861	84219	13482
862	84322	13386
863	84421	13288
864	84515	13190
865	84617	13093
866	84719	12996
867	84844	12902
868	84946	12805
869	85040	12707
870	85133	12608
871	85221	12509
872	85327	12412
873	85442	12317
874	85538	12219
875	85638	12122
876	85735	12024
877	85843	11928
878	85935	11829
879	86037	11732
880	86141	11635
881	86239	11537
882	86394	11447
883	86487	11349
884	86590	11251
885	86705	11156
886	86798	11057
